"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13824","Assertions and Waits on Test Automation Practice","chromium","Wed Sep 10 10:42:32 IST 2025","passed","Wed Sep 10 10:42:46 IST 2025","","Basic_Assertion_Pattern.spec.js","",""
"","41949","Assertions and Waits on Test Automation Practice","firefox","Wed Sep 10 10:45:35 IST 2025","passed","Wed Sep 10 10:46:17 IST 2025","","Basic_Assertion_Pattern.spec.js","",""
"","15249","test","firefox","Wed Sep 10 10:58:18 IST 2025","passed","Wed Sep 10 10:58:33 IST 2025","","eg1.test.js","",""
"","1231","Lab 3: Navigate to Playwright Getting Started page","chromium","Wed Sep 10 10:44:09 IST 2025","passed","Wed Sep 10 10:44:10 IST 2025","","lab3.spec.js","",""
"","13752","test","chromium","Wed Sep 10 10:42:50 IST 2025","passed","Wed Sep 10 10:43:04 IST 2025","","eg1.spec.js","",""
"","23320","Lab 4: Multiple Navigations in One Test","firefox","Wed Sep 10 10:47:39 IST 2025","failed","Wed Sep 10 10:48:02 IST 2025","","lab4.spec.js","",""
"","53880","Keyboard interaction demo","chromium","Wed Sep 10 10:43:07 IST 2025","passed","Wed Sep 10 10:44:01 IST 2025","","keyboardClass.spec.js","",""
"","18221","test","webkit","Wed Sep 10 10:58:38 IST 2025","passed","Wed Sep 10 10:58:56 IST 2025","","eg1.test.js","",""
"","6380","Lab 5: Navigate to a Sub-page","chromium","Wed Sep 10 10:44:15 IST 2025","failed","Wed Sep 10 10:44:21 IST 2025","","lab5.spec.js","",""
"","5662","test","chromium","Wed Sep 10 10:42:24 IST 2025","failed","Wed Sep 10 10:42:30 IST 2025","","Advanced_locator.spec.js","",""
"","65571","test","firefox","Wed Sep 10 10:45:03 IST 2025","failed","Wed Sep 10 10:46:08 IST 2025","","Advanced_locator.spec.js","",""
"","21828","Mercury Tours login and menu interaction","chromium","Wed Sep 10 10:44:36 IST 2025","passed","Wed Sep 10 10:44:58 IST 2025","","MouseClass.spec.js","",""
"","4843","test","firefox","Wed Sep 10 10:46:21 IST 2025","passed","Wed Sep 10 10:46:26 IST 2025","","brower_navigator.spec.js","",""
"","11071","validate page title and URL","firefox","Wed Sep 10 10:44:47 IST 2025","passed","Wed Sep 10 10:44:58 IST 2025","","00_validate_titleandURL.spec.js","",""
"","11465","Validate page title and URL","chromium","Wed Sep 10 10:42:11 IST 2025","passed","Wed Sep 10 10:42:23 IST 2025","","001_validate_titleandurl.spec.js","",""
"","9251","validate","chromium","Wed Sep 10 10:44:27 IST 2025","passed","Wed Sep 10 10:44:36 IST 2025","","lab9.spec.js","",""
"","4752","Lab 4: Multiple Navigations in One Test","chromium","Wed Sep 10 10:44:10 IST 2025","passed","Wed Sep 10 10:44:15 IST 2025","","lab4.spec.js","",""
"","14865","drag and drop using locator","chromium","Wed Sep 10 10:42:43 IST 2025","passed","Wed Sep 10 10:42:58 IST 2025","","checking.spec.js","",""
"","5153","Lab 6: Handle Navigation with a Redirect","chromium","Wed Sep 10 10:44:17 IST 2025","passed","Wed Sep 10 10:44:23 IST 2025","","lab6.spec.js","",""
"","8333","should successfully log in with valid credentials","webkit","Mon Sep 08 16:58:38 IST 2025","passed","Mon Sep 08 16:58:46 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","6500","test","firefox","Wed Sep 10 10:46:10 IST 2025","passed","Wed Sep 10 10:46:17 IST 2025","","basic_form_interaction.spec.js","",""
"","6860","test","chromium","Wed Sep 10 10:42:34 IST 2025","passed","Wed Sep 10 10:42:40 IST 2025","","basic_locator.spec.js","",""
"","6856","Lab 1: First Script & Basic Navigation","firefox","Wed Sep 10 10:47:04 IST 2025","passed","Wed Sep 10 10:47:11 IST 2025","","lab1.spec.js","",""
"","5934","Lab 3: Navigate to Playwright Getting Started page","firefox","Wed Sep 10 10:47:33 IST 2025","passed","Wed Sep 10 10:47:39 IST 2025","","lab3.spec.js","",""
"","11612","JavaScript alerts with assertions","firefox","Wed Sep 10 10:45:23 IST 2025","passed","Wed Sep 10 10:45:35 IST 2025","","alertClass.spec.js","",""
"","3297","Lab 10: Combine Title and URL Assertions","firefox","Wed Sep 10 10:47:13 IST 2025","passed","Wed Sep 10 10:47:16 IST 2025","","lab10.spec.js","",""
"","11283","test","firefox","Wed Sep 10 10:46:19 IST 2025","passed","Wed Sep 10 10:46:30 IST 2025","","basic_locator.spec.js","",""
"","2681","test","chromium","Wed Sep 10 10:42:41 IST 2025","passed","Wed Sep 10 10:42:43 IST 2025","","brower_navigator.spec.js","",""
"","8345","should successfully log in with valid credentials","chromium","Wed Sep 10 10:44:37 IST 2025","passed","Wed Sep 10 10:44:45 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","19617","test","firefox","Wed Sep 10 10:46:35 IST 2025","passed","Wed Sep 10 10:46:54 IST 2025","","eg1.spec.js","",""
"","6525","JavaScript alerts with assertions","chromium","Wed Sep 10 10:42:24 IST 2025","passed","Wed Sep 10 10:42:31 IST 2025","","alertClass.spec.js","",""
"","3358","test","chromium","Wed Sep 10 10:42:46 IST 2025","passed","Wed Sep 10 10:42:50 IST 2025","","eg.spec.js","",""
"","90450","test","chromium","Wed Sep 10 10:58:18 IST 2025","failed","Wed Sep 10 10:59:48 IST 2025","","eg1.test.js","",""
"","1720","Lab 10: Combine Title and URL Assertions","chromium","Wed Sep 10 10:44:02 IST 2025","passed","Wed Sep 10 10:44:04 IST 2025","","lab10.spec.js","",""
"","8598","should successfully log in with valid credentials","firefox","Mon Sep 08 16:58:25 IST 2025","passed","Mon Sep 08 16:58:33 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","4199","test","firefox","Wed Sep 10 10:46:30 IST 2025","passed","Wed Sep 10 10:46:35 IST 2025","","eg.spec.js","",""
"","4695","Lab 2: Validate page title and URL","chromium","Wed Sep 10 10:44:04 IST 2025","passed","Wed Sep 10 10:44:09 IST 2025","","lab2.spec.js","",""
"","20528","drag and drop using locator","firefox","Wed Sep 10 10:46:26 IST 2025","passed","Wed Sep 10 10:46:46 IST 2025","","checking.spec.js","",""
"","15445","Validate page title and URL","firefox","Wed Sep 10 10:45:05 IST 2025","passed","Wed Sep 10 10:45:20 IST 2025","","001_validate_titleandurl.spec.js","",""
"","11582","validate page title and URL","chromium","Wed Sep 10 10:42:10 IST 2025","passed","Wed Sep 10 10:42:22 IST 2025","","00_validate_titleandURL.spec.js","",""
